course_id,course_name,category,course_description,certification,placement_support,skills_taught,roadmap,course_url,skills_list
C001,Python Full Stack Development,Python,"Learn Python, Django, REST APIs, MySQL, Git and build full-stack web applications.",Yes,Yes,"Python, Django, HTML, CSS, JavaScript, MySQL, REST API, Git",Python → HTML/CSS → JavaScript → Django → REST API → MySQL → Deployment,https://cybersquare.pro/,"['Python', 'Django', 'HTML', 'CSS', 'JavaScript', 'MySQL', 'REST API', 'Git']"
C002,MERN Stack Development,MERN Stack,"Master MongoDB, Express.js, React and Node.js to build modern web applications.",Yes,Yes,"MongoDB, Express.js, React, Node.js, JavaScript, Git",HTML/CSS → JavaScript → React → Node.js → Express.js → MongoDB → Deployment,https://cybersquare.pro/,"['MongoDB', 'Express.js', 'React', 'Node.js', 'JavaScript', 'Git']"
C003,Flutter Development,Flutter,Develop cross-platform Android and iOS applications using Flutter.,Yes,Yes,"Flutter, Dart, Firebase, REST API",Dart → Flutter → UI → Firebase → API Integration → Deployment,https://cybersquare.pro/,"['Flutter', 'Dart', 'Firebase', 'REST API']"
C004,React Front End Development,React,Build responsive and interactive frontend applications using React.,Yes,Yes,"React, JavaScript, HTML, CSS, API Integration",HTML/CSS → JavaScript → React → Components → Routing → APIs,https://cybersquare.pro/,"['React', 'JavaScript', 'HTML', 'CSS', 'API Integration']"
C005,Angular Development,Angular,Create scalable web applications using Angular and TypeScript.,Yes,Yes,"Angular, TypeScript, HTML, CSS, RxJS",TypeScript → Angular → Components → Services → APIs,https://cybersquare.pro/,"['Angular', 'TypeScript', 'HTML', 'CSS', 'RxJS']"
C006,PHP Full Stack Development,PHP,Develop dynamic web applications using PHP and MySQL.,Yes,Yes,"PHP, MySQL, HTML, CSS, JavaScript",HTML/CSS → JavaScript → PHP → MySQL → CRUD → Deployment,https://cybersquare.pro/,"['PHP', 'MySQL', 'HTML', 'CSS', 'JavaScript']"
C007,Data Science with Python,Data Science,"Learn data analysis, visualization and machine learning using Python.",Yes,Yes,"Python, Pandas, NumPy, Matplotlib, Scikit-learn",Python → Data Analysis → Visualization → Machine Learning → Project,https://cybersquare.pro/,"['Python', 'Pandas', 'NumPy', 'Matplotlib', 'Scikit-learn']"
C008,Artificial Intelligence with Python,AI/ML,Understand AI and machine learning concepts using Python.,Yes,Yes,"Python, Machine Learning, Deep Learning, NLP",Python → Machine Learning → Deep Learning → NLP → AI Project,https://cybersquare.pro/,"['Python', 'Machine Learning', 'Deep Learning', 'NLP']"
C009,Business Analytics,Business Analytics,Analyze business data to support strategic decision making.,Yes,Yes,"Excel, SQL, Power BI, Data Analysis",Excel → SQL → Power BI → Dashboards → Analytics,https://cybersquare.pro/,"['Excel', 'SQL', 'Power BI', 'Data Analysis']"
C010,DevOps,DevOps,"Learn CI/CD, containerization and deployment practices.",Yes,Yes,"Linux, Git, Docker, Jenkins, CI/CD",Linux → Git → Docker → Jenkins → CI/CD,https://cybersquare.pro/,"['Linux', 'Git', 'Docker', 'Jenkins', 'CI/CD']"
C011,Software Testing,Testing,Learn manual and automation testing techniques.,Yes,Yes,"Manual Testing, Selenium, TestNG, Bug Tracking",Testing Basics → Manual Testing → Selenium → Automation,https://cybersquare.pro/,"['Manual Testing', 'Selenium', 'TestNG', 'Bug Tracking']"
C012,UI/UX Design,UI/UX Design,Design intuitive user interfaces and user experiences.,Yes,Yes,"Figma, Wireframing, Prototyping, UX Research",Design Principles → Wireframes → Prototypes → UI Design,https://cybersquare.pro/,"['Figma', 'Wireframing', 'Prototyping', 'UX Research']"
